,Reviews,Labels,length
3759,"The first time I saw this film, I was in shock for days afterwards. Its painstaking and absorbing treatment of the subject holds the attention, helped by good acting and some really intriguing music. The ending, quite simply, had me gasping. First rate!",1,253
3775,"I saw this film for the very first time several years ago - and was hooked up in an instant. It is great and much better than J. F. K. cause you always have to think 'Can it happen to me? Can I become a murderer?' You cannot turn of the TV or your VCR without thinking about the plot and the end, which you should'nt miss under any circumstances.",1,346
3804,"I really have to say, this was always a favorite of mine when I went to see my grandma. And it still is. It is very, very close to the book. The way it is filmed, and the players were just all excellent! I have to recommend this movie to everyone who hasn't seen it. Almost everyone I talk to hates TV movies, but this was really great! I gave it 10/10.",1,353
3813,"This has to be one of my favourite movies of all time. The dialogue, with the constant use of puns is very tight, the cast are superb, and the plot is highly original.<br /><br />Don't take my word for it - watch this movie and enjoy it for yourself.",1,250
3821,mature intelligent and highly charged melodrama unbelivebly filmed in China in 1948. wei wei's stunning performance as the catylast in a love triangle is simply stunning if you have the oppurunity to see this magnificent film take it,1,233
3832,"My wife and I have watched this movie twice. Both of us used to be in the Military. Besides being funny as hell, it offers a very realistic view of life in the Navy from the perspective of A Navy enlisted man, and tells it ""like it really is"". We're adding this movie to our permanent collection !",1,297
3861,"This is a great film. Touching and strong. The direction is without question breathless. Good work to the team. I feel so sorry for Marlene, By the grace of God go you or I",1,172
3868,"In all the comments praising or damning Dalton's performance, I thought he was excellent. He does not play Rochester as a spoiled pretty rich boy, but as a roguish, powerful man. I liked this version, although the shot on video aspect was sometimes distracting, and the scenes with Jane and St. John never quite gelled. I give this an 8.",1,337
3893,"I agree with the other comments. I saw this movie years ago. Christopher Plummer is hilarious as a dandy. The ribaldry is unsurpassed. If this comes out on video, I will definitely buy it.",1,188
3924,This is a 'sleeper'. It defines Nicholas Cage. The plot is intricate and totally absorbing. The ending will blow you away.<br /><br />See it whenever you have the opportunity.,1,175
3932,"a bit slow and boring, the tale of an old man and his wife living a delapidated building and interacting with a fixed cast of characters like the mailman, the brothers sitting on the porch, the wealthy cigar smoking man. The photography of the river is marvelous, as is the interior period decoration. If you like decoration of Banana Republic stores, this is a must.",1,367
3946,"When I saw this film in the 1950s, I wanted to be a scientist too. There was something magical and useful in Science. I took a girl - friend along to see it a second time. I don't think she was as impressed as I was! This film was comical yet serious, at a time when synthetic fibres were rather new. Lessons from this film could be applied to issues relating to GM experimentation of today.",1,391
3966,"this movie I saw some 10 years ago (maybe more), I took it in a rental and never found it to buy even in French sites. The end is very surprising and intelligent. I would like very much to watch it again because I think it's as surpring as the Sixth Sense althogh a completely different kind of movie.",1,301
3971,This is an excellent film!Tom Hanks and Paul Newman performed great!I was really surprised when Newman was beating on his son!That was a great scene and the shooting scenes were staged good.I was very surprised about the end.Rent this film today as it is one of Tom Hanks' best!,1,278
3989,"When I learned of Sir Alec Guinness' death, this was the first of his many films I thought of re-seeing. What a wonderful droll commentary the film provides even after all these years. And Guinness helps to weave the charm into every frame. His eyes and face are as luminous as that white suit he wears. Both he and the film have to be considered lifetime favorites.",1,366
4014,"I recently found a copy for $5 at a video store, and snapped it up eagerly. While the music and (obviously) graphics aren't up to the standards of my favorite of the series, Beyond the Mind's Eye, I am still entranced by one segment:<br /><br />Stanley and Stella in ""Breaking the Ice"". The music is brilliant, and the emotions feel real. The clip on Odyssey's website doesn't have the story nor the music, unfortunately.",1,421
4028,"Made me think about it for days after seeing it. That to me is the mark of a great movie. Eyes Wide Shut had the same effect on me. I am tired of these people requiring these happy Hollywood cookie-cutter endings. I am planning on going to see it again tonight to understand the plot a little better - but regardless, the emotional messages of the movie were totally felt.",1,372
4031,"Dwight Frye steals the show in this one as a foolish young man(who seems to be mentally handicapped) who gets himself blamed for vampire-like murders especially after he reveals his love for bats which he likes to stroke and give to unsuspecting friends as 'gifts'!. Besides all of that, there's an entertaining mystery tale involving the above mentioned murders. Underrated.",1,375
4032,"The performances in this movie were fantastic. The dialogue was great. Jason Patric delivered a fantastic performance as ""Kid"" Collins in this wonderful adaptation of the Jim Thompson novel. Far superior to ""The Grifters"", which was a good movie, this film really stayed true to the pulp fiction/film noir roots from which the story came. I recommend this movie to all film noir fans.",1,384
4041,Allison Dean's performance is what stands out in my mind watching this film. She balances out the melancholy tone of the film with an iridescent energy. I would like to see more of her.,1,185
4048,"This is a very grim, hard hitting, even brutal film about a death row break that goes awry. It's black and white photography keeps it from being dated. Mickey Rooney is excellent as the twisted, yet strangely sympathetic lead. One of the first movies to portray the psychological desolation of death row. It is also quite poignant.",1,331
4065,"Entertaining Jim Belushi vehicle, a modern cockeyed version of It's A Wonderful Life. Michael Caine plays a sort-of angel who lets Belush see what life would have been like if he had ""made it big"". Jim is at his best with a good story and supporting cast; seems like real chemistry between him and Hamilton. Not an Oscar contender but good warm-hearted fun.",1,357
4070,"Silly movie is really, really funny. Yes, it's got its dead moments, it can be a bit too obvious, it declines a bit in the second half and the story is an incoherent mess, but it's laugh out loud funny all the way. And it's worth seeing just for Ed McMahon as a right wing kook. This movie is in the same class as Elvira, Mistress of the Dark, another incredibly funny, underappreciated film.",1,392
4076,"What fun! Bucketfuls of good humor, terrific cast chemistry (Skelton/Powell/Lahr/O'Brien), dynamite Dorsey-driven soundtrack! Miss Powell's dance numbers have exceptional individual character and pizzazz. Her most winning film appearance.",1,238
4085,"<br /><br />Ok the film wasn't going to win any awards and it is pure bubblegum, and it is a modern update on ""It's a wonderful life"". But it's just come out as a cheap release on DVD and there are a lot worse ways of blowing $13. You get a film that has a surprisingly strong cast but for most they were still a year or two from becoming B list celebs. However it's an enjoyable way of passing an hour and half just don't think too much in it.",1,444
4094,"Giallo fans, seek out this rare film. It is well written, and full of all sorts of the usual low lifes that populate these films. I don't want to give anything away, so I wont even say anything about the plot. The whole movie creates a very bizarre atmosphere, and you don't know what to expect or who to suspect. Recommended! The only place I've seen to get this film in english is from European Trash Cinema, for $15.",1,419
4101,"I just can't believe that these games can get so much better, but they do. Unfortunately I had to rent a Dreamcast to play it, but even though I did beat it I can't wait to buy it for PS2. This is the only series of games that I must own all of them even if I have beaten them many times over. I hope they never stop making this type of game even if the series must come to an end.<br /><br />",1,393
4122,"This is an intimate movie of a sincere girl in the real world out of Hollywood's cheap fantasy is a very good piece of its class, and Ashley Judd fills the role impeccably. It may appear slow for thrill seekers though. Cool movie for a calm night.<br /><br />",1,259
4132,"It's a shame that this piece of work wasn't acknowledged as a piece of work. It has everything a historical film must have: a serious historical research, outstanding performances of every actor involved and a discrete but great direction.<br /><br />When I saw the movie I knew it should be a prototype for every biographical movie.",1,333
4137,"There are few movies that appear to provide enterntainment as well as realism. If you've ever wondered about the role of snipers in modern war, take a look at this one. <br /><br />I just loved the scene where hundred soldiers get shooting at the jungle, no-one quite sure where that shot came?<br /><br />And, they nicked one scene to Saving Private Ryan, so it has to have some merit in the scene.<br /><br />",1,411
4161,"I didn't expect much when I rented this movie and it blew me away. If you like good drama, good character development that draws you into a character and makes you care about them, you'll love this movie.<br /><br />Engrossing!",1,227
4174,"Just as Tom Berenger put you into the soul of Sgt. Barnes, he has done it again with Thomas Beckett. If I thought his world was folding in on him in the first scenes, it was nothing compared to how much more I felt during the last scenes. Great movie, even for a girl.",1,268
4217,"A must see film with great dialogues, great music, great acting and a superb atmosphere.<br /><br />In the film you will follow 8 people for one day in the city of antwerp, they are all individuals and sometimes plain weird (that's how I love them!).<br /><br />I'm not going to say anything else, just go see and enjoy it.",1,323
4218,"I first saw this movie in the theater when I was 8 years old and it still cracks me up. The Muppets are so cool and they approach show business in a refreshingly naive way. My favorite scene is when the rats start a whispering campaign on behalf of Kermit at a fancy restaurant. This is one smart and funny movie for kids and parents alike. Long live Kermit, Miss Piggy and the rest of the gang.",1,395
4226,"this movie is another on the list that i did not want to see. i was talked into it and dragged into the theater, but boy am i glad for that. i thought it was going to be just another love story, but it turns out to be SOOO much more than that. definatly an intellectual flick, one of those movies you have to pay attention to.",1,326
4229,"It's highly stylized, but this movie shows that real people appear on these shows and what seems like good fun and a chance to appear on television can have serious consequences.<br /><br />Yes, i's mostly comedy, but there are some sad moments.",1,245
4231,"Comparable to Fight Club, The Matrix, A.I., Sixth Sense, among others. This film approaches the psyche in a way never done before. The first 30 minutes builds a interesting love story between Diaz-Cruise-Cruz. The rest of the movie is, well, confusing, you'll pick more every time you watch it (i've gone to the movies to see it 3 times now)",1,341
4232,"Possibly the best movie ever created in the history of Jeffrey Combs career, and one that should be looked upon by all talent in Hollywood for his versatility, charisma, and uniqueness he brings through his characters and his knowledge of acting.",1,246
4238,"This is a bizzare look at Al's ""life"", back when he still a hyper 20-something. The (real) home videos of Al as a kid are great, and the commentary from his (real life) parents gives a nice glimpse of just how Weird Al wound up as screwed up as he is. This video is a must own for any devoted Al-coholic.",1,304
4240,This game ranks above all so far. I had the honor of playing mine on PS2 so the graphics were really good. The voice acting was above standard. The difficulty level is just right. Wesker has to be the best characters in the RE series in my opinion. The story amazed me and took many different twist that I wasn't expecting. The only rating this game deserves is great.,1,368
4247,"One of the most frightening game experiences ever that will make you keep the lights on next to your bed. Great storyline with a romantic, horrific, and ironic plot. Fans of the original Resident Evil will be in for a surprise of a returning character! Not to mention that the voice-acting have drastically improved over the previous of the series. Don't miss out on the best of the series.",1,390
4256,"Two sorcerers battle in the fourth dimension,one(Brian Thompson as a Kabal)trying to destroy the Earth,the other(Jeffrey Combs as a Anton Mordrid)trying to save it.""Doctor Mordrid"" is an enjoyable fantasy fare which offers plenty of cheese.The plot is pretty silly and the gore is completely absent,but the film is very short and entertaining.So if you have enough time to kill give this one a look.My rating:7 out of 10.",1,421
4262,"But if you like the muppets I defy you to dislike this one. Basically the same plot regurgitated (this time New York, not LA) it features a lot of fun cameos and muppet hi-jinx. A lot of the muppets leave the film pretty early on as it centers around Kermy and Miss Piggy. I happened to have enjoyed it greatly. Fun to watch with your kids.",1,340
4278,When I started to watch this movie on VH-1 I cringed. The MTV movies were all bad so I wasnt expecting much. But this movie was really good. I liked it a lot. And it even had a twist at the end. See this movie because it shows that Made For TV movies that are good exist.,1,271
4279,"I've seen this about 2 or 3 times and haven't regretted it. Homeward bound is not just a typical animal movie. Its unique, fun and bursting with adventure. The things that make it a fun movie are the animals (obvious)who are wonderfully trained. A very good effort.<br /><br />8.5/10!",1,284
4291,"This is an EXCELLENT example of early Bette Davis talent. The production is above average for 1936 timeframe. I cannot understand why the owners of the rights to this film have not put it on DVD. Owners, PLEASE PLEASE release it. I would buy it immediately. I have not seen it in more than thirty years, on television, but remember it well.",1,340
4316,"Personally, I disdain The Jerry Springer Show, however, I found ""Ringmaster"" to be the funniest movie I've seen this year. The never-ending satire of Jerry Springer ""guests"" starting in the opening scene keeps you laughing throughout the movie. Despite a brief scene in which Jerry Springer makes a feeble attempt at justifying his existence, I definitely recommend this movie for sheer entertainment value.",1,407
4376,"This has to be the all time best computer animation classic. Even though most of the animations where experiments. They have an artistic quality that has stood the test of time. Twelve years after it's release, I have gone back to watch this video and found some inspiration for new types of computer graphics. Some of the techniques used in this video have never been full explored.",1,383
4385,"This movie is one of my favorites because it makes me think of all the choices I have made and how my life would change if my choices had been different. It plays right into the "" Multiple Universe "" theory.<br /><br />The only thing that doesn't ring true is how Larry Burrows ( James Belushi)has such a hard time understanding what is going on, that everything has changed.<br /><br />",1,387
4389,"This show is awesome! and I've seen it about 6 times.<br /><br />Granted it may be lacking in educational content as some people like those sort of movies, but I think it's great, very funny and excellently written!",1,215
4392,"Homeward Bound is a beautiful film. Y'know the part where Shadow falls down the ditch... thingy, I *cried*, considering I was only six, I cried! it takes a lot to make me cry! The dogs and the cat are excellently trained. A nice family movie, *not* for completely hardened non-fluffy people or animal-haters but could for soft-as-crap a.k.a. people like me.<br /><br />A good film overall, 10/10!",1,396
4396,Starfucker (which reads Starstruck on my box) was the most amazing movie I have ever seen. I thought that it was one of the best movies I have ever seen. So why not a 10? Nothing is perfect. Jamie Kennedy proves why he is one of my favorite actors in this very interesting look at a darker side of Hollywood. I have forced a few others to watch the movie and they all agreed that it was an outstanding flick.,1,408
4401,This film surprised me a little. I watch a lot of horror/sci-fi films and this is a straight-to-video release that caught me off guard a little. I believe this is Full Moon's best movie thus far and one of Jeffrey Combs best performances. Good movie.,1,250
4407,"This is the best movie I`ve ever seen !!! Thomas Beckett & Richard Miller -two mankinds who want to survive in the ""jungle"" of violence and madnes, one shot - one killed !!? You must kill, if you getting doubt about something, YOU MUST SURVIVE !!<br /><br />P.P.- I appologise of my bad / worst/ English !!!",1,307
4420,"Saw this movie when it came out in 1959, left a lasting impression. Great group of actors. A little short timewise but a great movie all the same. Have only seen once since then and that was some time ago. Hopefully they'll put it out on DVD if they haven't already.",1,266
4426,"Everyone plays their part pretty well in this ""little nice movie"". Belushi gets the chance to live part of his life differently, but ends up realizing that what he had was going to be just as good or maybe even better. The movie shows us that we ought to take advantage of the opportunities we have, not the ones we do not or cannot have. If U can get this movie on video for around $10, it´d be an investment!",1,410
4429,"This is an absolutely incredible film. It shows South African racism from the perspective of the victims, and provokes a feeling of anti-racism in everyone who sees it. It is the best historic film I have ever seen.",1,215
4456,"Foley's noir quality in this saturated and intense pulp film is seemingly ""perfectly"" fit together. Shot by shot, edit by edit, the film unfolds itself around a disturbed boxer discovering his own purpose (or lack thereof). The other comments around perhaps indicate a lack of pulp interest, but I personally think this is a superbly put together cinematic piece!",1,363
4503,The blend of biography with poetry and live action with animation makes this a true work of art. The narration by Sir Michael Redgrave is moving. The length of the work makes it easily accessible for class room exposure or TV/Video time slots.,1,243
4521,"Great battle finale and nice sets help keep this often-slow movie enjoyable. At times it had me checking my watch, although there were enough memorable moments to make the film stand out in my mind days after watching it. The ending should surprise even those familiar with the Nibelungen story line.",1,300
4527,"This movie is just so good! Despite Carmen Electra, this has to be one of the better films I have seen in awhile. Jamie Kennedy is just amazing, and Loren Dean plays an insane spoiled movie star very well. The plot is great as well. It's all very real which is scary. It says here that it's a drama, but this is one of the damn funniest dramas I have ever seen. Go check it out.",1,378
4537,"Nothing new is this tired serio-comedy that wastes the talents of Danny Glover and Whoopi Goldberg. Considering that this was produced by the stars and Spike Lee, it's pretty tame and tired stuff. And how come the Whoop never changes her hair or glasses over the many years this film covers? Blah!",1,297
4541,"Having seen both ""Fear of a Black Hat"" and ""This is Spinal Tap"", I can honestly state that while similar, both movies are truly must see. There will be many times in ""Fear"" that will have you in hysterics. It is no wonder why both movies have such a huge cult following. ""Fear"" will soon be available on DVD. Rent it if you must, but the only way to fully enjoy this movie is to have it for yourself.",1,400
4551,"This movie had me smiling from beginning to end, partly at the humor, partly at Meg Ryan (this is the perfect character for her), and always because it's just one of the best feel-good movies I've seen. Hopefully the DVD will be out soon.",1,238
4565,"I picked up the movie with no cover and not even knowing what it was, but when I watched it I laughed so hard. It is now one of my favorite movies of all time. Rusty and the guys created a masterpiece I would highly recommend this movie to any one with a sense of humor. Thank You Rusty for giving us something to laugh at.",1,323
4566,"The cast was good, and I thought it was a good performance from Christopher Lloyd, whom I like from previous movies. The movie was a great family movie, nothing that would make you worry to show it to younger kids, a good story line, lots of laughs, lighthearted and enjoyable. If you want to entertain children without being bored to tears this fits the bill. Kid pleasing, and not difficult for a parent to watch, either.",1,423
4590,This comedy is bound to be good from the get-go. East meets west and east doesn't want to lose...west doesn't know what losing is like. It starts a little slow but it grabs you very soon and it doesn't let go. This is definitely worth seeing.,1,242
4596,"I really liked this movie, it was good, and the actors were brilliant! Leon Robinson, who played Richard, and many other classic singers, is very good at his job, when you see him in a musical movie, you know that it is going to be good! I would suggest that people watch this heart warming, sad, and special movie, if they want to know more about Richard! Outstanding! Fresh!",1,376
4597,"I never saw this movie until I bought the tape last year. I was enthralled and entertained. It has all the elements of what I love to see in a Sci-Fi story, in a book or on the screen. There's social commentary, speculation, and a good story.<br /><br />There's something eerie, and amusing, watching a 1936 view of the 'distant future' of the 60s and 70s.<br /><br />I think it's a must see, and not only for Sci-Fiers.",1,420
4609,"Just a note to add to the above comment. Fear of a Black Hat doesn't have the criminal who's image has been ripped off by the band, that's in CB4. Easily confused as the two films are so similar, but Black Hat is vastly the superior of the two..... yeah.",1,254
4617,"Good sequel to Murder in a Small Town. In this one Cash and his police Lt. buddy unravel a sticky plot involving a Nazi criminal, a philanthropic witch, and a family of screw-ups and their wierdo helpers. As in the original, the viewer is treated to a nice little mystery with distinctive sights and sounds of pre-war America. Go see it.",1,337
4621,"So one person says, ""This movie is a beautiful, delicate exploration of West German life after World War II."" And the other says, ""Former Nazis living in bombed out buildings, and the movie is 'beautiful, delicate'?"" And the first sits there nodding, takes another sip of coffee. ""I can't explain. Just see it.""",1,311
4638,"This movie is so great. Its set back in probably the 40's and Meg Ryan's character struggles to be known as 'smart.' Plus Tim Robbins is so cute in this movie. And everything about it has a magical feeling towards it. Everytime I watch it I feel happy. It's definitely a girl movie, and I'm a girl, so I like it. I also love the music. The violin is awesome. but besides that I think it's a cute story and everyone should watch it.",1,431
4646,"I think it great example of the differences between two cultures. It would be a great movie to show in a sociology class. I thought it was pretty funny and I must say that i am a sucker for that ""lets band together and get the job done"" plot device. It seems most people don't realize that this movie is not just a comedy. It has a few dramatic elements in it as well and I think they blend in nicely. Overall, I give it a solid 8.",1,431
4655,"This film is more about how children make sense of the world around them, and how they (and we) use myth to make sense of it all. I think it's been misperceived, everyone going in expecting a stalkfest won't enjoy it but if you want a deeper story, it's here.......",1,265
4656,"""Fear of a Black Hat"" is a superbly crafted film. I was laughing almost continuously from start to finish. If you have the means, I highly recommend viewing this movie It is, by far, the funniest movie I have had the pleasure to experience. Grab your stuff!",1,257
4664,"It's been quite some time since I've watched this LOTR. I am currently hunting for a copy to purchase. Bakshi's work is quite true to the original work. The visuals are engrosing and sometimes haunting.<br /><br />Drawbacks? Occasionally, the movie is confusing or muddled. There are one or two times where the storyline slows to a crawl. But, overall -- buy this movie. It's great for kids, adults and collectors.",1,414
4682,"This film lingered and lingered at a small movie theater in town, and the word-of-mouth buzz got me to see it. A comedy about disabled people - the subject matter keeps lots of people away from a funny and heart-warming film.",1,225
4696,"Overall I would have to say that I liked the movie. Some of the fight scenes are really good. Especially the fight against Leung Ka-Yan. One point that really bothered me was the fact that they used an Asian to play a black man. I mean really. Talk about bad taste. During a fight scene, you see one of the fighters on the floor is laughing. Otherwise, Sammo copies Bruce Lee's fighting moves perfectly. 5 out of 10 Stars.",1,422
4702,"Leon was fantastic as always, this time playing Little Richard in his early years. The movie showed a fully fleshed out Little Richard without neglecting to fill the show with lots of great music. My only complaint is that the ending was a little abrupt - I was hoping for a 2-parter!",1,284
4703,"COME ON!!! They did that on purpose!! Two of my current faves on TV (Meloni from ""Oz"" and ""L and O-SVU"" and Janel from ""West Wing"") hook up for a nice little sleeper/character study. Plot's nothing fancy, but the acting is right on the mark. Tim Busfield shows up for some neat bits. Worth a look.",1,297
4707,"Brilliant movie. The drawings were just amazing. Too bad it ended before it begun. I´ve waited 21 years for a sequel, but nooooo!!!",1,131
4719,"""A little nonsense now and then, is cherished by the wisest men.""<br /><br />If you are too smart to watch this movie, then you are too smart to be alive. <br /><br />Wonderful romp, wonderful premise, period piece done with acute eye for detail.<br /><br />Walter Matthau, Meg Ryan, Tim Robbins - et al - just wonderful!<br /><br />Rent it, sit down, relax, take it in, smile a little. Enjoy yourself. <br /><br />Then, thank me.",1,430
4726,"THE VAN is a simple teensploitation picture made especially for the drive in that goes out of it's way to make you feel comfortable, providing many opportunities to laugh and cry with your friends. Danny Devito has a small yet plentiful role as the manager of a car wash and almost steals the show! All the leads are well acted, the characters complex and the directing quite competent for this type of picture. A Crown International Release.",1,442
4734,"I think the opening 20 minutes of this film is perhaps one of the most exciting filmed, with the brilliant music score working to build tension to a shattering climax. What cinema goers made of this in the 30s, I can only imagine. The 'Times' said at the time, 'A miracle has come to the screen.' Watch it and marvel.",1,317
4738,"I really enjoyed this movie. Typically Ron Howard who seems to like being associated with Michael Keaton. Love the scene when Hunt travels to Japan with his sales pitch. Whoa, how did that get in there ! Cheap laughs but great value",1,232
4748,"The scenes are fast-paced. the characters are great. I love Anne-Marie Johnson's acting. I really like the ending. <br /><br />However, I was disappointed that this movie didn't delve deeper into Achilles's and Athena's relationship. It only blossomed when they kissed each other.",1,280
4749,"Sergeant Ryker is accused of being a traitor during the Korean War, a hanging offense. A long drawn out court-marshal ensues during which time the Sgt. must remain in a military jail. After much investigation the defense attorney attempts to exonerate the doomed non-com with an eleventh hour ploy. Very good picture.",1,317
4751,"Clint Eastwood reprises his role as Dirty Harry who this time is on the case of a vigilante (Sondra Locke)who is killing the people that raped her and her sister at a carnival many years ago. Eastwood makes the role his and the movie is mainly more action then talk, not that I'm complaining. Sudden Impact is indeed enjoyable entertainment.",1,341
4771,"The scenes are fast-paced. the characters are great. I love Anne-Marie Johnson's acting. I really like the ending. <br /><br />However, I was disappointed that this movie didn't delve deeper into Achilles's and Athena's relationship. It only blossomed when they kissed each other.",1,280
4782,"A solid, if unremarkable film. Matthau, as Einstein, was wonderful. My favorite part, and the only thing that would make me go out of my way to see this again, was the wonderful scene with the physicists playing badmitton, I loved the sweaters and the conversation while they waited for Robbins to retrieve the birdie.",1,318
4788,"This is hardly a movie at all, but rather a real vaudeville show, filmed for the most part ""in proscenium"", and starring some of the greatest stage stars of the day. ""Singing in the Bathtub"" is an absolutely amazing production number that must be seen-- be sure to wear your shower cap!",1,286
4792,"I dont know why people think this is such a bad movie. Its got a pretty good plot, some good action, and the change of location for Harry does not hurt either. Sure some of its offensive and gratuitous but this is not the only movie like that. Eastwood is in good form as Dirty Harry, and I liked Pat Hingle in this movie as the small town cop. If you liked DIRTY HARRY, then you should see this one, its a lot better than THE DEAD POOL. 4/5",1,441
4810,"Fear of a black hat is a hilarious spoof of Hip-Hop culture. It is just as funny as This Is Spinal Tap, if not funnier. The actors are incredible and the documentary style is superb. Mark Christopher Lawrence is a tremendous talent that should be starring in a lot more films. This film is a true cult classic!",1,310
4814,"I think Hollow Point is a funny film with some good moments I have never seen before in action movies. Well,both Tia Carrere and Thomas Ian Griffith aren't so good in acting, but Tia Carrere is nice and good looking girl, isn't it? But Donald Sutherland is superb in his role so-so mad gangster.",1,295
4817,"IQ is a cute romantic comedy featuring two great actors that seem to click well on screen. Plot is a typical guy wrong for girl, guy gets girl format, but makes the solid point that one must love with the heart and not the the mind. Addition of Albert Einstein and his band of geniuses provides excellent comic relief. Overall, a good movie. Not great, but good",1,361
4823,"""Fear Of A Black Hat"" is everything the (much weaker) ""CB-4"" SHOULD have been. Rusty Cundieff's satirical eye is ruthless, as he folds, spindles, and mutilates every aspect of hip-hop trends and culture. Does ""FoaBH"" resemble Spinal Tap? Yes, a bit. Is it derivative of Spinal Tap? No, not really. The aim is more focused, the satire is better focused, and to be honest, it's funnier.",1,384
4832,"A haunting piece that the discerning horror film fan will fall upon with gratitude. Keep your Freddys and your Jasons -- this film is in the same company as ""The Haunting"" (the original). Lyrical and truthful, it stays with you long into the night, much like those terrifying CBS Radio Mystery Theatre shows. A smart rent.",1,322
4835,"Sudden Impact is the best of the five Dirty Harry movies. They don't come any leaner and meaner than this as Harry romps through a series of violent clashes, with the bad guys getting their just desserts. Which is just the way I like it. Great story too and ably directed by Clint himself. Excellent entertainment.",1,314
4838,"The acting in this movie was superb, but mixed with the truth about the condition of many Africans in South Africa made it heart wrenching. It was good that the writer isolated Boesman and Lena from others run from their homes, so we could share fully in their triumphs and defeats; the conflicts they shared as they grew together and apart. Worth seeing when you put the movie in it's proper context.",1,401
4840,The only thing serious about this movie is the humor. Well worth the rental price. I'll bet you watch it twice. It's obvious that Sutherland enjoyed his role.,1,158
4842,"What a great film it is. The notion of nations sending people fighting each other with giant robots is tacky. The ending is not just a fitting one, it's more inspirational.<br /><br />But I am intrigued by the characters. It is a pity we never see the relationship of Achilles and Athena more developed beyond just a couple of kisses and Athena's fear for Achilles's safety. Their romance is very enjoyable.<br /><br />",1,419
4865,"If you like animal movies, this movie will please. My wife likes animals and animal movies, she especially like the parrot in this film. It is geared towards kids, but I laughed at most of the humor. The French fashion character made me laugh, and adds balance to the script. It is a Disney film, with its sappy, happily, family apeal, but I like leaving the theater with a positive fealing.",1,391
4878,"Okay. This Movie is a Pure Pleasure. It has the Ever so Violent Horror Mixed with a Little Suspense and a Lot of Black Comedy. The Dentist Really Starts to loose His Mind and It's Enjoyable to Watch him do so. This Movie is for Certain People, Though. Either you'll Completely Love it or You Will Totally Hate It. A Good Movie to Rent and Watch When you don't Got Anything else to do. Also Recommended: Psycho III",1,413
4896,"First it was Jack The Ripper, now it is Alan Feinstone. The crazy dentist tortures people in horrific ways. Quite realistic at times but some of the acting is abysmal and comical. Especially from Corbin Bernson. In some scenes there is dental torture that will really make you cringe.",1,284
4906,"I first saw this movie about 4 years ago and i was expecting something funny, similar to CB4. I was blown away. I was on the floor laughing my butt off this movie is so great. Way better than CB4, the characters, the songs, the plot, everything. Top notch independent film that was given ""Two Thumbs UP"" by Siskel and Egbert (and if two old white guys can understand the humour in this flick, you know it's good).",1,413
4907,<br /><br />Robot jox is a great little film ok some of the sets are bad and the acting is not that great but the special effects are very good for a film of this size and age. You have to remember that this film is over 10 years old now and was made very cheaply in the 1st place so you cant moan to much about the bad parts. So just sit back and watch a cool film with great big robots in it.,1,394
4914,"after seeing this excellent film over 100 times, i still find new things that blow me away with this movie, great special effects, incredible acting, and a plot full of ingenious twists makes this movie an excellent depiction of capitalism versus communism, and in this ending everyone is happy and all is well. best movie ever!!!",1,330
4915,"What can I say? An excellent end to an excellent series! It never quite got the exposure it deserved in Asia, but by far, the best cop show with the best writing and the best cast on televison. EVER! The end of a great era. Sorry to see you go...",1,246
4925,"OK, this movie was cool. I don't think it was the best movie ever made but it sure was fun. My brother and I still act out scenes once in a while, and will occasionally yank the movie out of the cupboard, blow off the dust and pop it in. Enjoyable all the way until the end, but a great concept. This is a movie that one has to just forget criticism all together and just enjoy. Judgment is victory for Robot Jox.",1,413
4927,"Magnificent and unforgettable, stunningly atmospheric, and brilliantly acted by all.<br /><br />I really cannot understand what sort of people are panning this masterpiece and giving the preponderance of votes as 8 (and nine ones!)<br /><br />This, along with Grapes of Wrath, is John Ford's greatest movie. I would say that Long Voyage Home is next in line, though quite a way back.<br /><br />Rating: 10. It deserves a 12.",1,424
4928,"This gem for gore lovers is extremely underrated. It's pure delight and fun! Gratuitous servings of blood, insanity and black humor, which can please even the most demanding lover of the genre. A full exploitation of the almost universal fear of dentists and flawlessly shot. Only for the connoisseurs.",1,302
4932,"This film is a stunning piece that will convince even the most skeptical viewer that Gerard Depardieu is one of the finest film actors of the last 50 years. His performance shocks, entertains, disgusts and charms you while leaving you breathless. This film was shot in the very early days of his film career and is very raw, but still is able to convey the mastery of Depardieu. A must-see for any Depardieu fan and by far his best early work.",1,443
4933,"An excellent movie. Superb acting by Mary Alice, Phillip M. Thomas, and a young Irene Cara. Tony King was very realistic in his role of Satin. This movie was one of the last predominately ""all black"" movies of the 70's and unlike the ""blaxploitation"" movies of that era, this movie actually had a plot, and was very well done. The movie soundtrack, sung by Aretha Franklin, was popular on the R&B charts at the time.",1,416
4939,"This is a romantic comedy where Albert Einstein, played wonderfully by Walter Matthau, and his cronies play match maker to his niece (Meg Ryan) and a talented auto mechanic (Tim Robbins). The interplay among these major roles is augmented by a terrific supporting cast of well recognized character actors. This movie is cute and fun ... a ""feel-gooder""! Hearty recommendations.",1,377
4941,"Pleasant, diverting and charming. The best part is the swing numbers, especially the rendition of My Buddy, partial though it may have been. The acting was a bit over the top in areas but the mood set by Wilder is so pleasant it is hard not to enjoy this film.",1,260
4946,"The one of the most remarkable sci-fi movies of the millennium. Not only a movie but an incredible future vision, this movie establishes a new standard of s/f movies. hail and kill!",1,181
